date,property_id,surface_m2,bedrooms,location_score,listing_price,is_booked
2022-01-04,PROP_012,54,2,8.8,230,1
2022-01-04,PROP_013,116,4,6.2,585,1
2022-01-04,PROP_014,28,1,9.6,130,1
2022-01-04,PROP_015,91,3,8.3,395,1
2022-01-04,PROP_016,29,1,8,159,1
2022-01-04,PROP_017,75,2,8,324,0
2022-01-04,PROP_018,105,4,8.3,487,0
2022-01-04,PROP_019,80,3,9.8,384,1
2022-01-04,PROP_020,71,2,7.3,379,0
2022-01-04,PROP_021,55,2,9.1,229,1
2022-01-04,PROP_022,45,1,6.3,201,0
2022-01-04,PROP_023,104,4,8.3,461,1
2022-01-04,PROP_024,47,2,7.2,214,1
2022-01-04,PROP_025,32,1,6.6,173,0
2022-01-04,PROP_026,52,2,6.2,231,1
2022-01-04,PROP_027,100,3,7.9,413,1
2022-01-04,PROP_028,29,1,7.6,133,1
2022-01-04,PROP_029,113,4,7.2,584,0
2022-01-04,PROP_030,29,1,10,138,1
2022-01-04,PROP_031,117,4,9.5,482,1
2022-01-04,PROP_032,119,4,7,582,0
2022-01-04,PROP_033,26,1,6.5,140,1
2022-01-04,PROP_034,70,2,8.5,363,1
2022-01-04,PROP_035,65,2,6.6,305,1
2022-01-04,PROP_036,21,1,6.8,106,0
2022-01-04,PROP_037,68,2,7.6,353,1
2022-01-04,PROP_038,53,2,9.1,278,1
2022-01-04,PROP_039,103,4,6.1,498,1
2022-01-04,PROP_040,96,3,9.3,446,1
2022-01-04,PROP_041,113,4,6.7,549,1
2022-01-04,PROP_042,85,3,9.8,444,0
2022-01-04,PROP_043,95,3,9.4,437,1
2022-01-04,PROP_044,30,1,7.5,143,1
2022-01-04,PROP_045,33,1,6.4,155,1
2022-01-04,PROP_046,56,2,8.7,261,1
2022-01-04,PROP_047,45,1,8.3,197,0
2022-01-04,PROP_048,110,4,6.5,551,0
2022-01-04,PROP_049,20,1,8.8,97,1
2022-01-04,PROP_050,89,3,9.3,419,1
2022-01-05,PROP_001,47,2,8,225,1
2022-01-05,PROP_002,22,1,7.6,120,0
2022-01-05,PROP_003,115,4,7.9,528,0
2022-01-05,PROP_004,72,2,7.7,336,1
2022-01-05,PROP_005,26,1,9.2,132,1
2022-01-05,PROP_006,101,4,9.1,438,1
2022-01-05,PROP_007,117,4,6.6,566,1
2022-01-05,PROP_008,64,2,9.5,289,0
2022-01-05,PROP_009,43,1,9.9,204,1
2022-01-05,PROP_010,39,1,9.8,224,0
2022-01-05,PROP_011,102,4,7.8,436,1
2022-01-05,PROP_012,54,2,8.8,230,1
2022-01-05,PROP_013,116,4,6.2,512,1
2022-01-05,PROP_014,28,1,9.6,132,1
2022-01-05,PROP_015,91,3,8.3,422,1
2022-01-05,PROP_016,29,1,8,140,1
2022-01-05,PROP_017,75,2,8,354,1
2022-01-05,PROP_018,105,4,8.3,472,1
2022-01-05,PROP_019,80,3,9.8,349,1
2022-01-05,PROP_020,71,2,7.3,337,0
2022-01-05,PROP_021,55,2,9.1,260,0
2022-01-05,PROP_022,45,1,6.3,211,1
2022-01-05,PROP_023,104,4,8.3,505,1
2022-01-05,PROP_024,47,2,7.2,215,1
2022-01-05,PROP_025,32,1,6.6,166,1
2022-01-05,PROP_026,52,2,6.2,270,0
2022-01-05,PROP_027,100,3,7.9,496,1
2022-01-05,PROP_028,29,1,7.6,138,0
2022-01-05,PROP_029,113,4,7.2,559,1
2022-01-05,PROP_030,29,1,10,153,1
2022-01-05,PROP_031,117,4,9.5,525,1
2022-01-05,PROP_032,119,4,7,553,1
2022-01-05,PROP_033,26,1,6.5,136,1
2022-01-05,PROP_034,70,2,8.5,374,0
2022-01-05,PROP_035,65,2,6.6,324,1
2022-01-05,PROP_036,21,1,6.8,116,0
2022-01-05,PROP_037,68,2,7.6,333,0
2022-01-05,PROP_038,53,2,9.1,242,1
2022-01-05,PROP_039,103,4,6.1,478,1
2022-01-05,PROP_040,96,3,9.3,466,1
2022-01-05,PROP_041,113,4,6.7,534,1
2022-01-05,PROP_042,85,3,9.8,376,1
2022-01-05,PROP_043,95,3,9.4,477,1
2022-01-05,PROP_044,30,1,7.5,125,1
2022-01-05,PROP_045,33,1,6.4,162,1
2022-01-05,PROP_046,56,2,8.7,243,1
2022-01-05,PROP_047,45,1,8.3,214,1
2022-01-05,PROP_048,110,4,6.5,498,1
2022-01-05,PROP_049,20,1,8.8,106,0
2022-01-05,PROP_050,89,3,9.3,416,1
2022-01-06,PROP_001,47,2,8,118,0
2022-01-06,PROP_002,22,1,7.6,58,0
2022-01-06,PROP_003,115,4,7.9,308,0
2022-01-06,PROP_004,72,2,7.7,201,0
2022-01-06,PROP_005,26,1,9.2,81,1
2022-01-06,PROP_006,101,4,9.1,259,1
2022-01-06,PROP_007,117,4,6.6,299,0
2022-01-06,PROP_008,64,2,9.5,184,1
2022-01-06,PROP_009,43,1,9.9,126,0
2022-01-06,PROP_010,39,1,9.8,114,0
2022-01-06,PROP_011,102,4,7.8,263,0
2022-01-06,PROP_012,54,2,8.8,149,0
2022-01-06,PROP_013,116,4,6.2,288,1
2022-01-06,PROP_014,28,1,9.6,69,0
2022-01-06,PROP_015,91,3,8.3,212,1
2022-01-06,PROP_016,29,1,8,75,0
2022-01-06,PROP_017,75,2,8,178,0
2022-01-06,PROP_018,105,4,8.3,281,0
2022-01-06,PROP_019,80,3,9.8,213,0
2022-01-06,PROP_020,71,2,7.3,186,1
2022-01-06,PROP_021,55,2,9.1,137,0
2022-01-06,PROP_022,45,1,6.3,120,0
2022-01-06,PROP_023,104,4,8.3,252,0
2022-01-06,PROP_024,47,2,7.2,127,0
2022-01-06,PROP_025,32,1,6.6,102,0
2022-01-06,PROP_026,52,2,6.2,136,0
2022-01-06,PROP_027,100,3,7.9,270,0
2022-01-06,PROP_028,29,1,7.6,74,1
2022-01-06,PROP_029,113,4,7.2,305,0
2022-01-06,PROP_030,29,1,10,81,0
2022-01-06,PROP_031,117,4,9.5,288,0
2022-01-06,PROP_032,119,4,7,326,0
2022-01-06,PROP_033,26,1,6.5,74,1
2022-01-06,PROP_034,70,2,8.5,181,1
2022-01-06,PROP_035,65,2,6.6,165,1
2022-01-06,PROP_036,21,1,6.8,58,0
2022-01-06,PROP_037,68,2,7.6,201,0
2022-01-06,PROP_038,53,2,9.1,151,0
2022-01-06,PROP_039,103,4,6.1,274,0
2022-01-06,PROP_040,96,3,9.3,229,0
2022-01-06,PROP_041,113,4,6.7,290,0
2022-01-06,PROP_042,85,3,9.8,230,0
2022-01-06,PROP_043,95,3,9.4,249,0
2022-01-06,PROP_044,30,1,7.5,79,0
2022-01-06,PROP_045,33,1,6.4,87,1
2022-01-06,PROP_046,56,2,8.7,141,1
2022-01-06,PROP_047,45,1,8.3,126,0
2022-01-06,PROP_048,110,4,6.5,269,0
2022-01-06,PROP_049,20,1,8.8,55,0
2022-01-06,PROP_050,89,3,9.3,236,1
2022-01-07,PROP_001,47,2,8,146,0
2022-01-07,PROP_002,22,1,7.6,77,0
2022-01-07,PROP_003,115,4,7.9,333,0
2022-01-07,PROP_004,72,2,7.7,217,0
2022-01-07,PROP_005,26,1,9.2,101,0
2022-01-07,PROP_006,101,4,9.1,344,1
2022-01-07,PROP_007,117,4,6.6,364,0
2022-01-07,PROP_008,64,2,9.5,208,0
2022-01-07,PROP_009,43,1,9.9,159,0
2022-01-07,PROP_010,39,1,9.8,144,0
2022-01-07,PROP_011,102,4,7.8,297,0
2022-01-07,PROP_012,54,2,8.8,173,1
2022-01-07,PROP_013,116,4,6.2,395,0
2022-01-07,PROP_014,28,1,9.6,86,0
2022-01-07,PROP_015,91,3,8.3,296,0
2022-01-07,PROP_016,29,1,8,100,1
2022-01-07,PROP_017,75,2,8,245,0
2022-01-07,PROP_018,105,4,8.3,366,0
2022-01-07,PROP_019,80,3,9.8,250,0
2022-01-07,PROP_020,71,2,7.3,224,0
2022-01-07,PROP_021,55,2,9.1,153,0
2022-01-07,PROP_022,45,1,6.3,138,0
2022-01-07,PROP_023,104,4,8.3,343,0
2022-01-07,PROP_024,47,2,7.2,141,1
2022-01-07,PROP_025,32,1,6.6,108,1
2022-01-07,PROP_026,52,2,6.2,167,1
2022-01-07,PROP_027,100,3,7.9,315,0
2022-01-07,PROP_028,29,1,7.6,102,0
2022-01-07,PROP_029,113,4,7.2,356,0
2022-01-07,PROP_030,29,1,10,96,1
2022-01-07,PROP_031,117,4,9.5,324,1
2022-01-07,PROP_032,119,4,7,375,0
2022-01-07,PROP_033,26,1,6.5,97,0
2022-01-07,PROP_034,70,2,8.5,242,0
2022-01-07,PROP_035,65,2,6.6,191,0
2022-01-07,PROP_036,21,1,6.8,73,0
2022-01-07,PROP_037,68,2,7.6,246,0
2022-01-07,PROP_038,53,2,9.1,180,1
2022-01-07,PROP_039,103,4,6.1,350,0
2022-01-07,PROP_040,96,3,9.3,295,0
2022-01-07,PROP_041,113,4,6.7,336,1
2022-01-07,PROP_042,85,3,9.8,287,0
2022-01-07,PROP_043,95,3,9.4,285,0
2022-01-07,PROP_044,30,1,7.5,99,1
2022-01-07,PROP_045,33,1,6.4,121,0
2022-01-07,PROP_046,56,2,8.7,151,0
2022-01-07,PROP_047,45,1,8.3,158,0
2022-01-07,PROP_048,110,4,6.5,333,1
2022-01-07,PROP_049,20,1,8.8,67,0
2022-01-07,PROP_050,89,3,9.3,307,0
2022-01-08,PROP_001,47,2,8,155,0
2022-01-08,PROP_002,22,1,7.6,81,0
2022-01-08,PROP_003,115,4,7.9,379,0
2022-01-08,PROP_004,72,2,7.7,202,1
2022-01-08,PROP_005,26,1,9.2,89,1
2022-01-08,PROP_006,101,4,9.1,306,1
2022-01-08,PROP_007,117,4,6.6,361,0
2022-01-08,PROP_008,64,2,9.5,205,0
2022-01-08,PROP_009,43,1,9.9,156,0
2022-01-08,PROP_010,39,1,9.8,128,0
2022-01-08,PROP_011,102,4,7.8,284,0
2022-01-08,PROP_012,54,2,8.8,166,1
2022-01-08,PROP_013,116,4,6.2,343,1
2022-01-08,PROP_014,28,1,9.6,86,1
2022-01-08,PROP_015,91,3,8.3,261,0
2022-01-08,PROP_016,29,1,8,101,1
2022-01-08,PROP_017,75,2,8,239,0
2022-01-08,PROP_018,105,4,8.3,350,0
2022-01-08,PROP_019,80,3,9.8,247,1
2022-01-08,PROP_020,71,2,7.3,224,0
2022-01-08,PROP_021,55,2,9.1,160,0
2022-01-08,PROP_022,45,1,6.3,138,0
2022-01-08,PROP_023,104,4,8.3,343,0
2022-01-08,PROP_024,47,2,7.2,154,1
2022-01-08,PROP_025,32,1,6.6,113,0
2022-01-08,PROP_026,52,2,6.2,180,0
2022-01-08,PROP_027,100,3,7.9,325,0
2022-01-08,PROP_028,29,1,7.6,100,0
2022-01-08,PROP_029,113,4,7.2,326,0
2022-01-08,PROP_030,29,1,10,101,0
2022-01-08,PROP_031,117,4,9.5,370,1
2022-01-08,PROP_032,119,4,7,337,0
2022-01-08,PROP_033,26,1,6.5,88,1
2022-01-08,PROP_034,70,2,8.5,238,1
2022-01-08,PROP_035,65,2,6.6,189,1
2022-01-08,PROP_036,21,1,6.8,69,0
2022-01-08,PROP_037,68,2,7.6,238,0
2022-01-08,PROP_038,53,2,9.1,161,1
2022-01-08,PROP_039,103,4,6.1,328,0
2022-01-08,PROP_040,96,3,9.3,282,0
2022-01-08,PROP_041,113,4,6.7,368,0
2022-01-08,PROP_042,85,3,9.8,276,1
2022-01-08,PROP_043,95,3,9.4,297,0
2022-01-08,PROP_044,30,1,7.5,90,1
2022-01-08,PROP_045,33,1,6.4,123,0
2022-01-08,PROP_046,56,2,8.7,154,0
2022-01-08,PROP_047,45,1,8.3,136,1
2022-01-08,PROP_048,110,4,6.5,333,0
2022-01-08,PROP_049,20,1,8.8,61,0
2022-01-08,PROP_050,89,3,9.3,287,1
2022-01-09,PROP_001,47,2,8,128,0
2022-01-09,PROP_002,22,1,7.6,69,0
2022-01-09,PROP_003,115,4,7.9,329,0
2022-01-09,PROP_004,72,2,7.7,188,1
2022-01-09,PROP_005,26,1,9.2,81,1
2022-01-09,PROP_006,101,4,9.1,282,1
2022-01-09,PROP_007,117,4,6.6,279,1
2022-01-09,PROP_008,64,2,9.5,163,0
2022-01-09,PROP_009,43,1,9.9,134,1
2022-01-09,PROP_010,39,1,9.8,119,1
2022-01-09,PROP_011,102,4,7.8,248,1
2022-01-09,PROP_012,54,2,8.8,145,0
2022-01-09,PROP_013,116,4,6.2,313,1
2022-01-09,PROP_014,28,1,9.6,68,0
2022-01-09,PROP_015,91,3,8.3,231,0
2022-01-09,PROP_016,29,1,8,75,1
2022-01-09,PROP_017,75,2,8,177,0
2022-01-09,PROP_018,105,4,8.3,276,0
2022-01-09,PROP_019,80,3,9.8,187,0
2022-01-09,PROP_020,71,2,7.3,207,0
2022-01-09,PROP_021,55,2,9.1,143,1
2022-01-09,PROP_022,45,1,6.3,104,0
2022-01-09,PROP_023,104,4,8.3,256,1
2022-01-09,PROP_024,47,2,7.2,140,0
2022-01-09,PROP_025,32,1,6.6,100,0
2022-01-09,PROP_026,52,2,6.2,128,1
2022-01-09,PROP_027,100,3,7.9,272,0
2022-01-09,PROP_028,29,1,7.6,85,0
2022-01-09,PROP_029,113,4,7.2,291,0
2022-01-09,PROP_030,29,1,10,81,1
2022-01-09,PROP_031,117,4,9.5,309,1
2022-01-09,PROP_032,119,4,7,280,0
2022-01-09,PROP_033,26,1,6.5,80,1
2022-01-09,PROP_034,70,2,8.5,205,0
2022-01-09,PROP_035,65,2,6.6,171,0
2022-01-09,PROP_036,21,1,6.8,60,0
2022-01-09,PROP_037,68,2,7.6,191,0
2022-01-09,PROP_038,53,2,9.1,154,0
2022-01-09,PROP_039,103,4,6.1,281,1
2022-01-09,PROP_040,96,3,9.3,271,1
2022-01-09,PROP_041,113,4,6.7,277,0
2022-01-09,PROP_042,85,3,9.8,208,1
2022-01-09,PROP_043,95,3,9.4,225,1
2022-01-09,PROP_044,30,1,7.5,72,1
2022-01-09,PROP_045,33,1,6.4,100,0
2022-01-09,PROP_046,56,2,8.7,131,0
2022-01-09,PROP_047,45,1,8.3,112,0
2022-01-09,PROP_048,110,4,6.5,304,0
2022-01-09,PROP_049,20,1,8.8,55,0
2022-01-09,PROP_050,89,3,9.3,246,0
2022-01-10,PROP_001,47,2,8,122,1
2022-01-10,PROP_002,22,1,7.6,66,0
2022-01-10,PROP_003,115,4,7.9,278,0
2022-01-10,PROP_004,72,2,7.7,173,1
2022-01-10,PROP_005,26,1,9.2,73,0
2022-01-10,PROP_006,101,4,9.1,244,0
2022-01-10,PROP_007,117,4,6.6,326,0
2022-01-10,PROP_008,64,2,9.5,177,0
2022-01-10,PROP_009,43,1,9.9,115,0
2022-01-10,PROP_010,39,1,9.8,120,0
2022-01-10,PROP_011,102,4,7.8,242,0
2022-01-10,PROP_012,54,2,8.8,147,0
2022-01-10,PROP_013,116,4,6.2,278,0
2022-01-10,PROP_014,28,1,9.6,71,1
2022-01-10,PROP_015,91,3,8.3,217,1
2022-01-10,PROP_016,29,1,8,89,0
2022-01-10,PROP_017,75,2,8,194,0
2022-01-10,PROP_018,105,4,8.3,273,0
2022-01-10,PROP_019,80,3,9.8,197,1
2022-01-10,PROP_020,71,2,7.3,194,0
2022-01-10,PROP_021,55,2,9.1,151,1
2022-01-10,PROP_022,45,1,6.3,113,0
2022-01-10,PROP_023,104,4,8.3,251,0
2022-01-10,PROP_024,47,2,7.2,118,1
2022-01-10,PROP_025,32,1,6.6,91,1
2022-01-10,PROP_026,52,2,6.2,137,1
2022-01-10,PROP_027,100,3,7.9,232,0
2022-01-10,PROP_028,29,1,7.6,86,0
2022-01-10,PROP_029,113,4,7.2,268,0
2022-01-10,PROP_030,29,1,10,78,0
2022-01-10,PROP_031,117,4,9.5,322,1
2022-01-10,PROP_032,119,4,7,278,1
2022-01-10,PROP_033,26,1,6.5,78,1
2022-01-10,PROP_034,70,2,8.5,187,0
2022-01-10,PROP_035,65,2,6.6,165,0
2022-01-10,PROP_036,21,1,6.8,61,1
2022-01-10,PROP_037,68,2,7.6,192,1
2022-01-10,PROP_038,53,2,9.1,134,0
2022-01-10,PROP_039,103,4,6.1,256,1
2022-01-10,PROP_040,96,3,9.3,237,0
2022-01-10,PROP_041,113,4,6.7,293,0
2022-01-10,PROP_042,85,3,9.8,246,1
2022-01-10,PROP_043,95,3,9.4,269,0
2022-01-10,PROP_044,30,1,7.5,71,0
2022-01-10,PROP_045,33,1,6.4,92,0
2022-01-10,PROP_046,56,2,8.7,136,0
2022-01-10,PROP_047,45,1,8.3,126,1
2022-01-10,PROP_048,110,4,6.5,298,1
2022-01-10,PROP_049,20,1,8.8,53,0
2022-01-10,PROP_050,89,3,9.3,232,0
2022-01-11,PROP_001,47,2,8,120,1
2022-01-11,PROP_002,22,1,7.6,62,0
2022-01-11,PROP_003,115,4,7.9,271,0
2022-01-11,PROP_004,72,2,7.7,190,0
2022-01-11,PROP_005,26,1,9.2,86,0
2022-01-11,PROP_006,101,4,9.1,288,0
2022-01-11,PROP_007,117,4,6.6,317,0
2022-01-11,PROP_008,64,2,9.5,172,0
2022-01-11,PROP_009,43,1,9.9,138,1
2022-01-11,PROP_010,39,1,9.8,106,1
2022-01-11,PROP_011,102,4,7.8,242,0
2022-01-11,PROP_012,54,2,8.8,135,0
2022-01-11,PROP_013,116,4,6.2,324,0
2022-01-11,PROP_014,28,1,9.6,66,0
2022-01-11,PROP_015,91,3,8.3,234,1
2022-01-11,PROP_016,29,1,8,77,0
2022-01-11,PROP_017,75,2,8,171,0
2022-01-11,PROP_018,105,4,8.3,260,1
2022-01-11,PROP_019,80,3,9.8,195,0
2022-01-11,PROP_020,71,2,7.3,192,1
2022-01-11,PROP_021,55,2,9.1,145,0
2022-01-11,PROP_022,45,1,6.3,112,1
2022-01-11,PROP_023,104,4,8.3,262,0
2022-01-11,PROP_024,47,2,7.2,131,1
2022-01-11,PROP_025,32,1,6.6,101,0
2022-01-11,PROP_026,52,2,6.2,143,0
2022-01-11,PROP_027,100,3,7.9,264,1
2022-01-11,PROP_028,29,1,7.6,74,0
2022-01-11,PROP_029,113,4,7.2,283,0
2022-01-11,PROP_030,29,1,10,84,1
2022-01-11,PROP_031,117,4,9.5,297,1
2022-01-11,PROP_032,119,4,7,287,0
2022-01-11,PROP_033,26,1,6.5,79,0
2022-01-11,PROP_034,70,2,8.5,209,0
2022-01-11,PROP_035,65,2,6.6,185,0
2022-01-11,PROP_036,21,1,6.8,62,0
2022-01-11,PROP_037,68,2,7.6,184,0
2022-01-11,PROP_038,53,2,9.1,137,1
2022-01-11,PROP_039,103,4,6.1,293,0
2022-01-11,PROP_040,96,3,9.3,257,0
2022-01-11,PROP_041,113,4,6.7,321,1
2022-01-11,PROP_042,85,3,9.8,218,0
2022-01-11,PROP_043,95,3,9.4,245,1
2022-01-11,PROP_044,30,1,7.5,78,0
2022-01-11,PROP_045,33,1,6.4,92,0
2022-01-11,PROP_046,56,2,8.7,148,0
2022-01-11,PROP_047,45,1,8.3,116,1
2022-01-11,PROP_048,110,4,6.5,290,0
2022-01-11,PROP_049,20,1,8.8,55,0
2022-01-11,PROP_050,89,3,9.3,246,0
2022-01-12,PROP_001,47,2,8,141,0
2022-01-12,PROP_002,22,1,7.6,69,0
2022-01-12,PROP_003,115,4,7.9,285,1
2022-01-12,PROP_004,72,2,7.7,181,0
2022-01-12,PROP_005,26,1,9.2,73,0
2022-01-12,PROP_006,101,4,9.1,240,0
2022-01-12,PROP_007,117,4,6.6,279,0
2022-01-12,PROP_008,64,2,9.5,183,0
2022-01-12,PROP_009,43,1,9.9,127,0
2022-01-12,PROP_010,39,1,9.8,118,1
2022-01-12,PROP_011,102,4,7.8,276,1
